device,dataset_kind,db_path,db_size_bytes,has_way_tile_table,probe_id,stratum,region,lat,lon,variant,distance_mode,avg_ms,p50_ms,min_ms,max_ms,generated_at_utc
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_regional_ref,regional_arterial_ref,karlsruhe-regbez,48.7719407,8.3394489,v2,polyline,7.9,7.89,7.87,7.97,2026-05-02T10:57:57Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_regional_ref,regional_arterial_ref,karlsruhe-regbez,48.7719407,8.3394489,v3,bbox,1.94,1.9,1.87,2.1,2026-05-02T10:57:57Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_regional_ref,regional_arterial_ref,karlsruhe-regbez,48.7719407,8.3394489,v3,hybrid,4.23,4.22,4.21,4.26,2026-05-02T10:57:57Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_regional_ref,regional_arterial_ref,karlsruhe-regbez,48.7719407,8.3394489,v3,polycontainment,1.27,1.26,1.25,1.32,2026-05-02T10:57:57Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_regional_ref,regional_arterial_ref,karlsruhe-regbez,48.7719407,8.3394489,v3,polyline,6.22,6.21,6.18,6.25,2026-05-02T10:57:57Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_regional_ref,regional_arterial_ref,karlsruhe-regbez,48.7719407,8.3394489,v4,bbox,5.56,5.65,5.13,5.94,2026-05-02T10:57:57Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_regional_ref,regional_arterial_ref,karlsruhe-regbez,48.7719407,8.3394489,v4,hybrid,8.7,8.02,7.76,11.51,2026-05-02T10:57:57Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_regional_ref,regional_arterial_ref,karlsruhe-regbez,48.7719407,8.3394489,v4,polycontainment,1.36,1.35,1.33,1.46,2026-05-02T10:57:57Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_regional_ref,regional_arterial_ref,karlsruhe-regbez,48.7719407,8.3394489,v4,polyline,9.93,9.86,9.73,10.14,2026-05-02T10:57:57Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,pforzheim_low_speed_start,low_speed_intersection,karlsruhe-regbez,48.8800067,8.7178683,v1,bbox,53.71,49.16,47.59,70.06,2026-05-02T10:57:58Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,pforzheim_low_speed_start,low_speed_intersection,karlsruhe-regbez,48.8800067,8.7178683,v1,hybrid,52.88,51.73,50.26,58.7,2026-05-02T10:57:58Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,pforzheim_low_speed_start,low_speed_intersection,karlsruhe-regbez,48.8800067,8.7178683,v1,polycontainment,1.04,0.77,0.77,2.1,2026-05-02T10:57:58Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,pforzheim_low_speed_start,low_speed_intersection,karlsruhe-regbez,48.8800067,8.7178683,v1,polyline,50.37,50.1,49.77,51.8,2026-05-02T10:57:58Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,pforzheim_low_speed_start,low_speed_intersection,karlsruhe-regbez,48.8800067,8.7178683,v2,bbox,7.51,7.03,6.06,9.51,2026-05-02T10:57:58Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,pforzheim_low_speed_start,low_speed_intersection,karlsruhe-regbez,48.8800067,8.7178683,v2,hybrid,8.76,8.45,8.3,9.59,2026-05-02T10:57:58Z
